timestamp,event_ticker,market_ticker,url,target_price,current_btc_kalshi,current_btc_source,current_btc_proxy,seconds_left,yes_bid,yes_ask,no_bid,no_ask,yes_decision,yes_reason,yes_model_fair_value_cents,yes_required_exit_bid_cents,yes_edge_cents,yes_expected_roi_percent,no_decision,no_reason,no_model_fair_value_cents,no_required_exit_bid_cents,no_edge_cents,no_expected_roi_percent,chosen_side,open_trades,cash,open_capital,account_value,wins,losses,total_gain_percent
2026-07-02T18:08:55,KXBTC15M-26JUL021815,KXBTC15M-26JUL021815-15,https://kalshi.com/markets/kxbtc15m/bitcoin-price-up-down/kxbtc15m-26jul021815,61518.74,61471.6,kalshi_rendered_dom:h2:m-0.font-kalshi-condensed.typ-headline-x10.typ-tabular.text-text-x10:score_140_cached_0s,,369,11.0,12.0,88.0,89.0,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 14c MIN (raw 13.33c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: not enough market history yet; no flush detected | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $47.14 from target, minimum $17.00 | model fair value 30.89c | edge 18.89c | expected settlement ROI 154.83% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",30.89,14,18.89,154.83,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 99c MIN (raw 98.89c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: not enough market history yet; no flush detected | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $47.14 from target, minimum $17.00 | model fair value 69.11c | edge -19.89c | expected settlement ROI -23.12% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",69.11,99,-19.89,-23.12,,0,10.0,0,10.0,0,0,0.0
2026-07-02T18:08:57,KXBTC15M-26JUL021815,KXBTC15M-26JUL021815-15,https://kalshi.com/markets/kxbtc15m/bitcoin-price-up-down/kxbtc15m-26jul021815,61518.74,61471.57,kalshi_rendered_dom:h2:m-0.font-kalshi-condensed.typ-headline-x10.typ-tabular.text-text-x10:score_140_cached_0s,,362,11.0,12.0,88.0,89.0,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 14c MIN (raw 13.33c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: not enough market history yet; no flush detected | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $47.17 from target, minimum $17.00 | model fair value 30.71c | edge 18.71c | expected settlement ROI 153.34% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",30.71,14,18.71,153.34,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 99c MIN (raw 98.89c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: not enough market history yet; no flush detected | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $47.17 from target, minimum $17.00 | model fair value 69.29c | edge -19.71c | expected settlement ROI -22.92% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",69.29,99,-19.71,-22.92,,0,10.0,0,10.0,0,0,0.0
2026-07-02T18:08:58,KXBTC15M-26JUL021815,KXBTC15M-26JUL021815-15,https://kalshi.com/markets/kxbtc15m/bitcoin-price-up-down/kxbtc15m-26jul021815,61518.74,61471.57,kalshi_rendered_dom:h2:m-0.font-kalshi-condensed.typ-headline-x10.typ-tabular.text-text-x10:score_140_cached_0s,,361,11.0,12.0,88.0,89.0,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 14c MIN (raw 13.33c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: stable: recent contract range 0.00c < pullback threshold 7.00c | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $47.17 from target, minimum $17.00 | model fair value 30.68c | edge 18.68c | expected settlement ROI 153.14% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",30.68,14,18.68,153.14,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 99c MIN (raw 98.89c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: stable: recent contract range 0.00c < pullback threshold 7.00c | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $47.17 from target, minimum $17.00 | model fair value 69.32c | edge -19.68c | expected settlement ROI -22.90% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",69.32,99,-19.68,-22.9,,0,10.0,0,10.0,0,0,0.0
2026-07-02T18:09:00,KXBTC15M-26JUL021815,KXBTC15M-26JUL021815-15,https://kalshi.com/markets/kxbtc15m/bitcoin-price-up-down/kxbtc15m-26jul021815,61518.74,61471.5,kalshi_rendered_dom:h2:m-0.font-kalshi-condensed.typ-headline-x10.typ-tabular.text-text-x10:score_140_cached_0s,,359,11.0,12.0,88.0,89.0,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 14c MIN (raw 13.33c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: stable: recent contract range 0.00c < pullback threshold 7.00c | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $47.24 from target, minimum $17.00 | model fair value 30.61c | edge 18.61c | expected settlement ROI 152.52% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",30.61,14,18.61,152.52,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 99c MIN (raw 98.89c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: stable: recent contract range 0.00c < pullback threshold 7.00c | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $47.24 from target, minimum $17.00 | model fair value 69.39c | edge -19.61c | expected settlement ROI -22.81% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",69.39,99,-19.61,-22.81,,0,10.0,0,10.0,0,0,0.0
2026-07-02T18:09:01,KXBTC15M-26JUL021815,KXBTC15M-26JUL021815-15,https://kalshi.com/markets/kxbtc15m/bitcoin-price-up-down/kxbtc15m-26jul021815,61518.74,61471.35,kalshi_rendered_dom:h2:m-0.font-kalshi-condensed.typ-headline-x10.typ-tabular.text-text-x10:score_140_cached_0s,,358,12.0,13.0,87.0,88.0,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 15c MIN (raw 14.44c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: stable: recent contract range 1.00c < pullback threshold 7.00c | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $47.39 from target, minimum $17.00 | model fair value 30.53c | edge 17.53c | expected settlement ROI 132.47% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",30.53,15,17.53,132.47,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 98c MIN (raw 97.78c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: stable: recent contract range 1.00c < pullback threshold 7.00c | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $47.39 from target, minimum $17.00 | model fair value 69.47c | edge -18.53c | expected settlement ROI -21.84% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",69.47,98,-18.53,-21.84,,0,10.0,0,10.0,0,0,0.0
2026-07-02T18:09:03,KXBTC15M-26JUL021815,KXBTC15M-26JUL021815-15,https://kalshi.com/markets/kxbtc15m/bitcoin-price-up-down/kxbtc15m-26jul021815,61518.74,61471.0,kalshi_rendered_dom:h2:m-0.font-kalshi-condensed.typ-headline-x10.typ-tabular.text-text-x10:score_140_cached_0s,,357,13.0,14.0,86.0,87.0,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 16c MIN (raw 15.56c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: stable: recent contract range 2.00c < pullback threshold 7.00c | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $47.74 from target, minimum $17.00 | model fair value 30.37c | edge 16.37c | expected settlement ROI 114.76% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",30.37,16,16.37,114.76,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 97c MIN (raw 96.67c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: stable: recent contract range 2.00c < pullback threshold 7.00c | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $47.74 from target, minimum $17.00 | model fair value 69.63c | edge -17.37c | expected settlement ROI -20.77% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",69.63,97,-17.37,-20.77,,0,10.0,0,10.0,0,0,0.0
2026-07-02T18:09:04,KXBTC15M-26JUL021815,KXBTC15M-26JUL021815-15,https://kalshi.com/markets/kxbtc15m/bitcoin-price-up-down/kxbtc15m-26jul021815,61518.74,61470.61,kalshi_rendered_dom:h2:m-0.font-kalshi-condensed.typ-headline-x10.typ-tabular.text-text-x10:score_140_cached_0s,,355,11.0,12.0,88.0,89.0,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 14c MIN (raw 13.33c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: stable: recent contract range 2.00c < pullback threshold 7.00c | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $48.13 from target, minimum $17.00 | model fair value 30.17c | edge 18.17c | expected settlement ROI 148.92% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",30.17,14,18.17,148.92,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 99c MIN (raw 98.89c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: stable: recent contract range 2.00c < pullback threshold 7.00c | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $48.13 from target, minimum $17.00 | model fair value 69.83c | edge -19.17c | expected settlement ROI -22.33% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",69.83,99,-19.17,-22.33,,0,10.0,0,10.0,0,0,0.0
2026-07-02T18:09:06,KXBTC15M-26JUL021815,KXBTC15M-26JUL021815-15,https://kalshi.com/markets/kxbtc15m/bitcoin-price-up-down/kxbtc15m-26jul021815,61518.74,61470.36,kalshi_rendered_dom:h2:m-0.font-kalshi-condensed.typ-headline-x10.typ-tabular.text-text-x10:score_140_cached_0s,,354,11.0,12.0,88.0,89.0,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 14c MIN (raw 13.33c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: stable: recent contract range 2.00c < pullback threshold 7.00c | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $48.38 from target, minimum $17.00 | model fair value 30.05c | edge 18.05c | expected settlement ROI 147.93% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",30.05,14,18.05,147.93,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 99c MIN (raw 98.89c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: stable: recent contract range 2.00c < pullback threshold 7.00c | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $48.38 from target, minimum $17.00 | model fair value 69.95c | edge -19.05c | expected settlement ROI -22.19% | blocked: entry is outside the decay-climb buy zone | decay-climb opening rule failed",69.95,99,-19.05,-22.19,,0,10.0,0,10.0,0,0,0.0
2026-07-02T18:09:07,KXBTC15M-26JUL021815,KXBTC15M-26JUL021815-15,https://kalshi.com/markets/kxbtc15m/bitcoin-price-up-down/kxbtc15m-26jul021815,61518.74,61470.23,kalshi_rendered_dom:h2:m-0.font-kalshi-condensed.typ-headline-x10.typ-tabular.text-text-x10:score_140_cached_0s,,352,20.0,21.0,79.0,80.0,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 24c MIN (raw 23.33c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: cooldown after flush: range 9.00c over 60s, high 20.00c, low 11.00c, current 20.00c, climbed 9.00c, 1s since low; need +3.00c and 30s since low | CONTRACT DROP LOOKS UNJUSTIFIED: contract range/drop 9.00c but BTC moved only $0.00 against YES / UP, threshold $25.00 | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $48.51 from target, minimum $17.00 | model fair value 29.95c | edge 8.95c | expected settlement ROI 41.20% | blocked: entry is outside the decay-climb buy zone | blocked: market just flushed; waiting for settlement/recovery | decay-climb opening rule failed",29.95,24,8.95,41.2,WATCH,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 89c MIN (raw 88.89c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: cooldown after flush: range 9.00c over 60s, high 88.00c, low 79.00c, current 79.00c, climbed 0.00c, 0s since low; need +3.00c and 30s since low | CONTRACT DROP LOOKS UNJUSTIFIED: contract range/drop 9.00c but BTC moved only $0.00 against NO / DOWN, threshold $25.00 | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $48.51 from target, minimum $17.00 | model fair value 70.05c | edge -9.95c | expected settlement ROI -13.32% | blocked: bid is not making a slow upward climb yet | blocked: market just flushed; waiting for settlement/recovery | blocked: market price too far above model probability | decay-climb setup is in range but not safe enough yet",70.05,89,-9.95,-13.32,,0,10.0,0,10.0,0,0,0.0
2026-07-02T18:09:09,KXBTC15M-26JUL021815,KXBTC15M-26JUL021815-15,https://kalshi.com/markets/kxbtc15m/bitcoin-price-up-down/kxbtc15m-26jul021815,61518.74,61469.96,kalshi_rendered_dom:h2:m-0.font-kalshi-condensed.typ-headline-x10.typ-tabular.text-text-x10:score_140_cached_0s,,351,21.0,22.0,78.0,79.0,PASS,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 25c MIN (raw 24.44c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: cooldown after flush: range 10.00c over 60s, high 21.00c, low 11.00c, current 21.00c, climbed 10.00c, 3s since low; need +3.00c and 30s since low | CONTRACT DROP LOOKS UNJUSTIFIED: contract range/drop 10.00c but BTC moved only $0.00 against YES / UP, threshold $25.00 | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $48.78 from target, minimum $17.00 | model fair value 29.82c | edge 7.82c | expected settlement ROI 34.21% | blocked: entry is outside the decay-climb buy zone | blocked: market just flushed; waiting for settlement/recovery | decay-climb opening rule failed",29.82,25,7.82,34.21,WATCH,"exit strategy DECAY_CLIMB_10PCT | trade size $1.00, buy fee $0.01, sell fee $0.00 | required exit bid 88c MIN (raw 87.78c) | target profit if exit hits $0.1000 (10.00%) | time bucket DECAY_CLIMB | decay entry band 60c-80c | quick scalp band 75c-93c | quick scalp time 45s-300s left | spread 1.00c, max 4.00c | bid momentum 0.00c | stability: cooldown after flush: range 10.00c over 60s, high 88.00c, low 78.00c, current 78.00c, climbed 0.00c, 0s since low; need +3.00c and 30s since low | CONTRACT DROP LOOKS UNJUSTIFIED: contract range/drop 10.00c but BTC moved only $0.00 against NO / DOWN, threshold $25.00 | BTC raw move $0.00; side favorable $0.00; side adverse $0.00 | BTC distance OK: $48.78 from target, minimum $17.00 | model fair value 70.18c | edge -8.82c | expected settlement ROI -12.06% | blocked: bid is not making a slow upward climb yet | blocked: market just flushed; waiting for settlement/recovery | blocked: market price too far above model probability | decay-climb setup is in range but not safe enough yet",70.18,88,-8.82,-12.06,,0,10.0,0,10.0,0,0,0.0
